player_id,wikidata_id,First Name,Last Name,Hand,Country,Height
200226,Q3320069,Mona,Guerrant,U,USA,0
200227,NOID,Diane,James,U,AUS,0
200228,Q259324,Olga,Morozova,R,URS,170
200229,Q18015528,Robyn,Knobel,U,AUS,0
200230,NOID,Patricia,Billing,U,AUS,0
200231,NOID,Brenda,Dart,U,AUS,0
200232,Q18016300,Ann,Lebedeff,U,USA,0
200233,Q2965954,Chris,Matison,R,AUS,0
200234,Q445451,Pam,Whytcross,U,AUS,0
200235,NOID,Maureen,Mccalman,U,AUS,0
200236,NOID,Patricia,King,U,AUS,0
200237,Q233234,Virginia,Wade,R,GBR,170
200238,Q3336584,Nathalie,Fuchs,R,FRA,0
200239,NOID,Kathy,Walker,U,AUS,0
200240,Q3059579,Eugenia,Birioukova,R,AZE,0
200241,Q625153,Duk Hee,Lee,U,KOR,157
200242,NOID,Helen,Young,U,AUS,0
200243,Q3109370,Glynis,Coles,R,GBR,173
200244,NOID,Moira,Whitely,U,AUS,0
200245,NOID,Soon Oh,Lee,U,KOR,0
200246,NOID,Leslie,Walker,U,AUS,0
200247,Q17370678,Dorte,Ekner,U,DEN,0
200248,NOID,Marion,Proisy,U,FRA,0
200249,NOID,Joan,Walker,U,ZIM,0
200250,Q59753362,Lindsay,Blachford,U,GBR,0
200251,Q447231,Kazuko,Sawamatsu,U,JPN,174
200252,Q17371506,Monique,Van Haver,U,BEL,0
200253,NOID,Kiyoko,Nomura,U,JPN,0
200254,Q674358,Michele,Gurdal,U,BEL,0
200255,Q3236673,Lesley,Charles,U,GBR,0
200256,NOID,Chris,Oneil,R,AUS,175
200257,NOID,Helen,Crozier,U,AUS,0
200258,NOID,Jeong Soon,Yang,U,KOR,0
200259,Q14286,Chris,Evert,R,USA,168
200260,NOID,Katerleen,Szeman,U,HUN,0
200261,NOID,Toshiko,Sade,U,JPN,0
200262,Q17362391,Jenny,Walker,U,AUS,0
200263,Q3161924,Janet,Newberry,R,USA,170
200264,Q3129593,Helena,Anliot,R,SWE,168
200265,Q18015341,Lindsey,Beaven,R,GBR,0
200266,Q239774,Sue,Barker,R,GBR,165
200267,NOID,Isabelle,Larsson,U,SWE,0
200268,NOID,Frances,Candy,U,AUS,0
200269,Q18010026,Jill,Schwikert,U,USA,0
200270,NOID,Nellemieke,Brouwer,U,NED,0
200271,Q61670796,Margareta,Strandberg,U,SWE,0
200272,NOID,Brenda,Dale,U,AUS,0
200273,Q3338340,Nerida,Gregory,U,AUS,0
200274,Q1293027,Julie,Heldman,R,USA,170
200275,Q458438,Ann,Kiyomura Hayashi,R,USA,0
200276,NOID,J D,Griffiths,U,AUS,0
200277,NOID,Anneloes,Schothurst,U,NED,0
200278,NOID,Sally,Arnott,U,AUS,0
200279,NOID,Gail,Williams,U,AUS,0
200280,Q18010000,Joy,Schwikert,U,USA,0
200281,Q3157398,Jackie,Fayter,U,GBR,0
200282,Q86135385,Jenny,Dimond,U,AUS,0
200283,Q461253,Pam,Teeguarden,R,USA,178
200284,NOID,Nora,Blom,U,NED,0
200285,Q3314609,Mimi,Wikstedt,U,SWE,163
200286,Q299610,Peggy,Michel,R,USA,0
200287,NOID,Miki,Yokobori,U,JPN,0
200288,Q3502956,Sue,Mappin,R,GBR,0
200289,NOID,Chris,Cerato,U,AUS,0
200290,NOID,Deborah,Fiuza,U,POR,0
200291,Q430332,Dianne,Evers,R,AUS,0
200292,NOID,Vivicca,Andersson,U,SWE,0
200293,Q54545,Martina,Navratilova,L,USA,173
200294,NOID,Gwen,Stirton,U,AUS,0
200295,NOID,Ai,Iida,U,JPN,0
200296,NOID,Belinda,Thompson,U,GBR,0
200297,Q15836320,Natasha,Chmyreva,U,URS,0
200298,Q1565163,Laura,Dupont,R,USA,0
200299,Q17300639,Kaye,Hallam,U,AUS,0
200300,Q62612789,Sally,Greer,U,USA,0
200301,NOID,Lois,Raymond,U,AUS,0
200302,Q3241364,Linda,Mottram,R,GBR,0
200303,NOID,Julie,Staines,U,AUS,0
200304,NOID,Cheree,Walker,U,NZL,0
200305,NOID,Carol,Draper,U,AUS,0
200306,Q17361983,Jan,Wilton,U,AUS,0
200307,NOID,Kerry,Neill,U,AUS,0
200308,Q3200951,Kym,Ruddell,U,AUS,0
200309,NOID,Merrilyn,Robinson,U,AUS,0
200310,NOID,Julie,Hanrahan,U,AUS,0
200311,Q2943727,Cecilia,Martinez,U,USA,0
200312,Q20089808,Frederique,Thibault,U,FRA,0
200313,NOID,Lotta,Stenberg,U,SWE,0
200314,Q2925479,Brigitte,Simon Glinel,U,FRA,0
200315,Q17438808,Nina,Bohm,R,SWE,0
200316,Q1526139,Heidi,Eisterlehner,R,GER,172
200317,Q469531,Helga,Masthoff,R,FRG,0
200318,Q3311469,Michelle,Tyler,U,GBR,0
200319,NOID,Cathy,Griffiths,U,AUS,0
200320,Q254047,Renata,Tomanova,R,GER,168
200321,Q3051209,Elisabeth,Ekblom,U,SWE,0
200322,NOID,Karen,Gulley,U,AUS,0
200323,Q7312970,Rene,Blount,U,USA,0
200324,Q2900076,Beth,Norton,R,USA,0
200325,Q3228657,Leanne,Harrison Austin,L,AUS,168
200326,Q3335842,Naoko,Sato,U,JPN,163
200327,NOID,Birgitte,Hermansen,U,DEN,0
200328,Q3369077,Patricia,Bostrom,U,USA,0
200329,Q17302233,Mary,Sawyer,U,AUS,169
200330,Q17307783,Sue,Saliba,U,AUS,0
200331,Q3196796,Kim,Sands,U,USA,0
200332,Q17438632,Amanda,Tobin,R,AUS,168
200333,Q293082,Betsy,Nagelsen,R,USA,175
200334,Q3460536,Sabina,Simmonds,R,ITA,170
200335,Q1711148,Judy,Chaloner,U,NZL,0
200336,Q17362156,Keryn,Pratt,U,AUS,0
200337,Q239647,Virginia,Ruzici,R,ROU,173
200338,Q3051240,Elizabeth,Little,U,AUS,0
200339,Q17307334,Linda,Cassell,R,AUS,0
200340,Q272703,Marcella,Mesker,U,NED,0
200341,NOID,Jutta,Diesslin,U,FRG,0
200342,Q1077600,Chris,Newton,U,NZL,181
200343,Q3505588,Susan,Leo,R,AUS,0
200344,Q53570,Barbara,Jordan,R,USA,165
200345,NOID,Brenda,Catton,U,AUS,0
200346,Q445472,Anne,Minter,R,AUS,165
200347,Q20259421,Bernadette,Randall,U,AUS,0
200348,Q255011,Hana,Mandlikova,R,AUS,173
200349,NOID,Diane,Morrison,U,USA,0
200350,NOID,Felicia,Hutnick,U,USA,0
200351,Q3241448,Lindsay,Morse,U,USA,0
200352,Q516539,Greer,Stevens,R,RSA,168
200353,Q6520835,Lele,Forood,U,USA,0
200354,Q61142,Claudia,Kohde Kilsch,R,GER,187
200355,Q3026196,Diane,Desfor,R,USA,165
200356,Q259282,Betty,Stove,R,NED,185
200357,Q262006,Rosalyn,Fairbank,R,USA,173
200358,Q3289995,Marcie,Louie,R,USA,0
200359,Q2965768,Christiane,Jolissaint,R,SUI,173
200360,Q54654,Pam,Shriver,R,USA,183
200361,Q1565130,Marie,Pinterova,R,HUN,175
200362,Q264083,Liz,Smylie,R,AUS,170
200363,Q30575937,Hana,Strachonova,R,SUI,165
200364,Q2883951,Barbara,Hallquist,R,USA,173
200365,Q526823,Tanya,Harford,R,RSA,162
200366,Q57977,Sylvia,Hanika,L,GER,173
200367,Q3335640,Nanette,Schutte,U,NED,0
200368,NOID,Miranda,Yates,U,AUS,0
200369,Q293096,Candy,Reynolds,R,USA,173
200370,Q17308126,Marie Christine,Calleja,U,FRA,0
200371,Q239728,Mima,Jausovec,R,SLO,160
200372,Q63084,Bettina,Bunge,R,GER,173
200373,Q2438371,Bonnie,Gadusek,R,USA,0
200374,Q84751470,Helga,Lutten,R,GER,0
200375,Q38129,Barbara,Potter,L,USA,175
200376,Q3194005,Katerina,Bohmova,L,CZE,0
200377,Q229151,Helena,Sukova,R,CZE,188
200378,Q270414,Anne,Smith,R,USA,165
200379,Q436523,Paula,Smith,R,USA,170
200380,Q23039626,Nancy,Yeargin,R,USA,0
200381,Q236648,Andrea,Jaeger,R,USA,168
200382,Q20993717,Isabelle,Villiger,R,SUI,0
200383,Q515289,Anne,Hobbs,R,GBR,167
200384,Q70368,Eva,Pfaff,R,GER,175
200385,Q2924407,Brenda,Remilton,U,AUS,0
200386,Q16224807,Corinne,Vanier,U,FRA,0
200387,Q510594,Anne,White,R,USA,180
200388,Q3236681,Leslie,Allen,R,USA,0
200389,Q264493,Kathy,Jordan,R,USA,173
200390,NOID,Mary Lou,Piatek,R,USA,0
200391,Q3481977,Sherry,Acker,R,USA,173
200392,Q436562,Jo,Durie,R,GBR,163
200393,Q3228607,Lea,Antonoplis,R,USA,165
200394,Q3293941,Marjorie,Blackwood,R,CAN,0
200395,Q267963,Catherine,Tanvier,R,FRA,174
200396,Q6409415,Kim,Steinmetz,U,USA,0
200397,Q53326,Tracy,Austin,R,USA,165
200398,Q3156045,Iva,Budarova,U,TCH,0
200399,Q3177094,Jennifer,Mundel,L,RSA,178
200400,Q6375594,Kate,Latham,R,USA,168
200401,Q259343,Manuela,Maleeva Fragniere,R,SUI,173
200402,NOID,Wendy,White,R,USA,0
200403,Q2846358,Andrea,Leand,R,USA,173
200404,Q53546,Zina,Garrison,R,USA,164
200405,Q3505594,Susan,Mascarin,R,USA,173
200406,Q2978415,Claudia,Monteiro,U,BRA,0
200407,Q511745,Camille,Benjamin,L,USA,175
200408,Q450264,Alycia,Moulton,R,USA,0
200409,Q32296050,Petra,Delhees Jauch,L,SUI,0
200410,Q510577,Yvonne,Vermaak,R,RSA,156
200411,NOID,Jane,Preyer,U,USA,0
200412,Q3556956,Vicki,Nelson,R,USA,168
200413,Q3129084,Heather,Ludloff,R,USA,165
200414,Q11662,Steffi,Graf,R,GER,175
200415,Q515418,Catherine,Suire,R,FRA,167
200416,Q433961,Robin,White,R,USA,164
200417,Q233332,Gigi,Fernandez,U,USA,170
200418,Q15869895,Amanda,Brown,U,GBR,0
200419,Q443446,Kathy,Rinaldi Stunkel,U,USA,0
200420,Q2850553,Anna Maria,Fernandez,U,USA,0
200421,Q548183,Pascale,Paradis Mangon,R,FRA,0
200422,Q264212,Raffaella,Reggi Concato,U,ITA,170
200423,Q2533224,Carling,Bassett Seguso,R,CAN,168
200424,Q3059383,Etsuko,Inoue,R,JPN,164
200425,Q3490838,Sophie,Amiach,R,FRA,165
200426,NOID,Kim,Staunton,U,AUS,0
200427,Q510774,Beth,Herr,R,USA,170
200428,Q265490,Lori,Mcneil,U,USA,170
200429,Q3051250,Elizabeth,Minter,L,AUS,0
200430,Q3289508,Marcela,Skuherska,U,TCH,0
200431,Q3240807,Lilian,Drescher,U,SUI,163
200432,Q85151227,Laura,Bernstein,U,USA,0
200433,NOID,Kim,Jones,R,USA,0
