Rank  Name                    Rating
643.  Clement Ngoran                83.762
644.  Ivan Dodig                    83.715
645.  Martin Alund                  83.677
646.  Byron Black                    83.47
647.  Marcel Freeman                83.352
648.  Richard Fromberg              82.809
649.  Bing Chao Lin                 82.748
650.  Thomas Hogstedt                82.25
651.  Bassam Beidas                 82.081
652.  Liam Broady                   81.926
653.  Horacio De La Pena            81.845
654.  Izak Van Der Merwe             81.77
655.  John James                    81.693
656.  Jeff Austin                   81.625
657.  Marc Kevin Goellner           81.566
658.  Aki Rahunen                   81.432
659.  Billy Martin                  81.263
660.  Fernon Wibier                 81.204
661.  Arnaud Boetsch                81.015
662.  Wojtek Fibak                  80.968
663.  Jan Norback                   80.863
664.  Bernard Fritz                 80.619
665.  Lew Hoad                      80.438
666.  Harold Solomon                80.416
667.  Jaromir Becka                 80.367
668.  Rod Frawley                   80.274
669.  Lukas Rosol                   80.237
670.  Tarek El Sakka                80.136
671.  Bob Bryan                     79.928
672.  Chris Pridham                 79.807
673.  Alejandro Hernandez           79.799
674.  Tom Nijssen                   79.747
675.  Pavel Kotov                   79.625
676.  Clark Graebner                  79.6
677.  Jason Kubler                  79.393
678.  Michel Kratochvil             79.378
679.  Whitney Reed                  79.143
680.  Quino Munoz                   79.024
681.  Menno Oosting                 78.903
682.  Henry Bunis                   78.834
683.  Guido Pella                   78.804
684.  Jim Pugh                      78.736
685.  Danny Sapsford                78.594
686.  Zeljko Franulovic              78.42
687.  Nick Saviano                  78.326
688.  Tomasz Iwanski                78.217
689.  Thiemo De Bakker              78.166
690.  Marius Copil                  78.127
691.  Bob Hewitt                    78.106
692.  Steve Johnson                 77.925
693.  Magnus Norman                 77.849
694.  Werner Zirngibl               77.837
695.  Michael Joyce                 77.772
696.  Gap Taik Ro                   77.756
697.  Pablo Arraya                  77.725
698.  Bent Ove Pedersen             77.613
699.  Todd Widom                    77.467
700.  Wolfgang Schranz              77.359
701.  Jose De Armas                 77.209
702.  Tommy Ho                      77.178
703.  Nick Brown                    77.142
704.  Gregoire Barrere               77.14
705.  Mike Collins                  77.066
706.  Stefan Simonsson              76.897
707.  Jacek Niedzwiedzki             76.74
708.  Patrick Landau                76.549
709.  Nicklas Kulti                 76.447
710.  Yuji Tezuka                   76.429
711.  Grega Zemlja                  76.282
712.  Gerard Solves                 76.132
713.  Juan Manuel Couder            76.029
714.  Eric Deblicker                75.856
715.  Filip Misolic                 75.852
716.  Bong Soo Kim                  75.677
717.  Morris Skip Strode             75.62
718.  Michael Westphal              75.511
719.  Vyacheslav Egorov             75.452
720.  Lloyd Harris                  75.449
721.  Charles Owens                  75.42
722.  Sebastien De Chaunac          75.328
723.  Olli Rahnasto                  75.25
724.  Eugenio Castigliano           75.086
725.  Mike Estep                     74.93
726.  Chris Guccione                74.877
727.  Franco Agamenone               74.82
728.  Jan Erik Lundquist            74.666
729.  Bernard Mignot                74.613
730.  Peter Feigl                   74.474
731.  Martin Klizan                  74.44
732.  Ismail El Shafei              74.312
733.  Nicklas Kroon                 74.219
734.  Guillaume Raoux               74.141
735.  Aljaz Bedene                  74.023
736.  Facundo Bagnis                73.799
737.  Antonio Munoz                 73.739
738.  Joao Domingues                 73.72
739.  Shuzo Matsuoka                73.412
740.  Jozef Kovalik                 73.401
741.  Yuri Schukin                  73.379
742.  Juan Ignacio Chela            73.326
743.  Gaetano Di Maso               72.997
744.  G D Jones                     72.978
745.  Dominik Hrbaty                72.812
746.  Ken Flach                     72.612
747.  Ivan Molina                   72.549
748.  David Wheaton                 72.539
749.  Leif Shiras                   72.483
750.  Paul Kronk                    72.427
751.  Lamine Ouahab                 72.394
752.  Wayne Odesnik                 72.278
753.  Jonathan Stark                72.246
754.  Bryan Juinio                  72.169
755.  Alberto Tous                  72.146
756.  Jesse Levine                  72.056
757.  Wally Masur                   71.976
758.  Terry Addison                 71.822
759.  John Frawley                  71.772
760.  Facundo Diaz Acosta           71.735
761.  Nam Hoang Ly                  71.666
762.  Ricki Osterthun               71.645
763.  Mikael Pernfors               71.633
764.  Sean Sorensen                 71.604
765.  Todd Reid                     71.523
766.  Lukas Lacko                   71.295
767.  Danai Udomchoke               71.275
768.  Gilles Ganancia               71.204
769.  Daniel King Turner            70.854
770.  Eric Winogradsky              70.724
771.  Frew Mcmillan                 70.711
772.  Thierry Pham                  70.638
773.  Rajeev Ram                    70.617
774.  Grant Connell                 70.551
775.  Chang Dae Jeon                70.497
776.  Chiradip Mukerjea             70.367
777.  Dick Crealy                   70.309
778.  Tommi Lenho                   70.213
779.  Daniel Brands                 70.207
780.  Attila Balazs                 70.124
781.  Donald Young                  70.088
782.  Julian Ganzabal               69.942
783.  Jurij Rodionov                69.873
784.  Marc Lopez                    69.724
785.  Jin Sun Yoo                   69.557
786.  Russell Simpson               69.454
787.  Mariano Zabaleta              69.403
788.  Srinivasan Vasudevan           69.34
789.  Ody Gabriel                   68.933
790.  Juan Pino                     68.778
791.  Sam Groth                      68.77
792.  Otto Virtanen                 68.414
793.  Jerome Potier                 68.395
794.  S Hegna                       68.392
795.  Mervyn Rose                   68.109
796.  Thiago Agustin Tirante        68.094
797.  Dan Goldie                    68.058
798.  Juan Manuel Cerundolo         68.017
799.  Patrick Proisy                67.889
800.  Thomas Buchmayer              67.791
801.  Claude Ngoran                 67.741
802.  Fernando Luna                 67.484
803.  Brad Gilbert                   67.32
804.  Daniel Garza                  67.309
805.  Van Winitsky                  67.187
806.  Scott Melville                66.963
807.  Marcelo Filippini             66.951
808.  Michael Quintero              66.708
809.  Ilie Nastase                  66.663
810.  Markus Zillner                66.625
811.  Onny Parun                    66.621
812.  Sherwood Stewart              66.615
813.  Brad Drewett                  66.592
814.  Sergei Bubka                  66.578
815.  Alberto Martin                  66.5
816.  Luca Van Assche               66.376
817.  Steve Docherty                66.264
818.  Shu Hua Liu                   65.901
819.  Sergiy Stakhovsky             65.863
820.  Frank Baden                    65.86
821.  Julien Jeanpierre             65.846
822.  David Sanchez                 65.825
823.  Todd Witsken                  65.742
824.  Alexander Zverev Sr           65.679
825.  Guillermo Garcia Lopez        65.385
826.  Bernd Karbacher               65.379
827.  Simone Colombo                65.354
828.  Alex Bogomolov Jr             65.297
829.  Sebastien Lareau              64.974
830.  Miguel Tobon                  64.846
831.  Jens Knippschild              64.588
832.  Rodney Harmon                 64.559
833.  Ruben Bemelmans               64.481
834.  Jhonson Garcia                64.371
835.  Mattia Bellucci               64.338
