Rank  Name                               Rating
460.    Alexandre Muller                   107.85 
461.    Arnaud Clement                    107.541 
462.    Wesley Moodie                     107.426 
463.    Tomas Carbonell                   107.407 
464.    Klaus Eberhard                    106.982 
465.    Aslan Karatsev                    106.904 
466.    David Nainkin                      106.81 
467.    Jean Philippe Fleurian            106.725 
468.    Pat Cash                          106.657 
469.    Yosuke Watanuki                   106.587 
470.    Jaime Pinto Bravo                 106.586 
471.    Juan Albert Viloca Puig           106.376 
472.    Tommy Haas                        106.302 
473.    Guy Forget                        105.963 
474.    Francisco Clavet                  105.959 
475.    Martin Jaite                      105.639 
476.    Jordi Burillo                      105.62 
477.    Adam Malik                        105.546 
478.    Frank Sedgman                     105.385 
479.    Wanaro N'Godrella                 105.068 
480.    Paul Goldstein                    105.059 
481.    Wojtek Kowalski                   105.012 
482.    Victor Hanescu                     104.82 
483.    Johan Carlsson                     104.48 
484.    Adrian Mannarino                  104.462 
485.    Lloyd Bourne                       104.29 
486.    Christopher Eubanks               104.179 
487.    Ilya Ivashka                      104.129 
488.    Marty Davis                       103.554 
489.    Stefan Koubek                     103.102 
490.    Marcel Felder                     102.918 
491.    Jerome Golmard                    102.895 
492.    Umesha Wallooppillai              102.846 
493.    Tobias Kamke                      102.739 
494.    Ville Liukko                        102.7 
495.    Jose Luis Damiani                 102.653 
496.    Ashley Hewitt                     102.645 
497.    Julian Alonso                     102.554 
498.    Altug Celikbilek                   102.35 
499.    Bob Mckinley                      102.349 
500.    Bruno Oresar                      102.325 
501.    Jimmy Wang                         102.25 
502.    Butch Seewagen                    102.076 
503.    Pavel Hutka                       101.997 
504.    Christian Ruud                     101.94 
505.    Albert Montanes                   101.872 
506.    David Witt                        101.736 
507.    Scott Davis                       101.649 
508.    Freddie Sauer                     101.606 
509.    Stan Smith                         101.48 
510.    Milan Holecek                     101.353 
511.    Francisco Yunis                   101.297 
512.    Graham Stilwell                   101.278 
513.    Learner Tien                      101.243 
514.    Ryan Harrison                      101.24 
515.    Tony Giammalva                    101.224 
516.    Arne Thoms                        100.795 
517.    Fabio Fognini                      100.78 
518.    Mushaf Zia                        100.515 
519.    Bob Kreiss                        100.245 
520.    Guillaume Rufin                   100.205 
521.    Danny Saltz                       100.119 
522.    Pablo Campana                     100.113 
523.    Jean Francois Caujolle            100.019 
524.    Mark Woodforde                     99.896 
525.    Oleg Ogorodov                      99.786 
526.    Pascal Portes                      99.606 
527.    Joaquin Loyo Mayo                  99.372 
528.    Robby Ginepri                        99.2 
529.    Gijs Brouwer                       99.047 
530.    Wieslaw Gasiorek                   98.691 
531.    Mike Leach                         98.643 
532.    Egor Gerasimov                     98.463 
533.    Terry Moor                         98.334 
534.    Francisco Rodriguez                98.292 
535.    Potito Starace                     98.177 
536.    Soon Woo Kwon                      98.155 
537.    Haseeb Aslam                       97.971 
538.    Gabriel Urpi                       97.966 
539.    Andrei Stoliarov                   97.841 
540.    Ricardo Ycaza                      97.796 
541.    Jonas Bjorkman                     97.796 
542.    Mike De Palmer                     97.789 
543.    Ricardo Cano                       97.765 
544.    Matthias Bachinger                 97.719 
545.    Reinhart Probst                    97.632 
546.    Dudi Sela                          97.315 
547.    Nicola Pietrangeli                 96.915 
548.    Michael Tebbutt                    96.881 
549.    Alex Bogomolov Jr                  96.522 
550.    Lucas Pouille                      96.508 
551.    Raymond Moore                      96.481 
552.    Andrei Chesnokov                   96.446 
553.    Per Jemsby                         96.442 
554.    Gaston Etlis                       96.226 
555.    Gilad Bloom                        96.024 
556.    Hernan Gumy                        95.958 
557.    Slobodan Zivojinovic               95.488 
558.    Karel Novacek                      95.363 
559.    Toshiro Sakai                      94.615 
560.    Marc Rosset                        94.327 
561.    Tim Van Rijthoven                  94.055 
562.    Luis Augusto Garcia                93.542 
563.    Humphrey Hose                      93.445 
564.    Gerald Battrick                    93.438 
565.    Franco Merlone                     93.237 
566.    Christopher Rungkat                93.122 
567.    Matthew Ebden                      93.113 
568.    Nicolas Lapentti                    93.07 
569.    Borna Coric                        92.878 
570.    Lars Rehmann                       92.824 
571.    Khalid Outaleb                     92.649 
572.    Bill Bowrey                        92.241 
573.    Liang Chi Huang                    92.144 
574.    Daniel Vacek                       92.141 
575.    Jun Kamiwazumi                     91.963 
576.    Ivan Sergeyev                      91.942 
577.    Kevin Ullyett                      91.701 
578.    John Fitzgerald                    91.581 
579.    Lionel Roux                        91.543 
580.    Markus Naewie                      91.453 
581.    Kelly Jones                        91.231 
582.    Bryan Shelton                      91.231 
583.    Todd Woodbridge                    91.027 
584.    Eric Friedler                      90.855 
585.    Hee Seok Chung                     90.589 
